state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
MS,4,15,4,4,2,4,3,3,6,9,10,4
OK,20,14,12,13,7,6,3,0,6,31,27,5
WY,0,2,2,0,1,1,0,1,1,0,0,2
MN,27,24,37,22,10,8,3,4,20,42,18,18
IL,68,80,79,48,29,10,12,17,49,96,59,21
GA,61,55,60,39,31,14,12,22,47,63,58,27
AR,4,7,9,9,12,2,1,9,5,10,11,4
NM,6,11,11,4,2,4,2,6,11,11,5,2
OH,75,63,96,79,50,32,30,34,47,107,81,32
IN,29,34,46,19,11,5,8,11,17,34,52,15
MD,19,27,36,23,19,4,7,8,27,53,23,9
LA,22,24,28,12,13,9,11,6,8,32,24,6
ID,6,5,8,8,0,1,3,2,2,3,4,0
AZ,34,65,75,37,21,14,5,13,19,48,36,16
IA,13,12,16,7,9,6,3,2,11,23,7,3
NY,110,123,205,112,92,43,28,30,76,239,124,40
MI,67,66,77,48,36,31,20,21,27,103,57,24
KS,13,9,13,9,5,3,1,3,16,25,13,7
UT,10,16,10,11,3,4,7,11,15,22,19,7
VA,85,73,66,28,13,15,5,12,17,67,26,14
OR,24,26,32,21,15,4,11,8,17,53,26,7
CT,18,19,22,10,9,3,4,6,13,42,19,7
MT,0,2,6,2,0,2,0,1,1,8,2,2
CA,362,400,391,234,185,131,92,107,223,403,331,117
MA,42,39,47,17,19,16,10,4,37,56,41,8
WV,4,12,11,6,4,3,2,4,4,18,8,6
SC,11,23,35,7,7,2,2,5,14,17,25,6
NH,3,6,7,3,0,5,0,3,5,3,5,2
VT,2,3,0,2,1,0,1,0,3,2,2,0
DE,2,4,2,5,0,0,2,2,3,2,3,1
ND,2,1,4,1,1,1,1,0,1,7,2,1
PA,69,64,95,49,29,21,10,23,49,105,51,22
FL,86,139,156,97,63,47,41,32,76,112,116,24
AK,2,4,4,0,2,2,1,3,6,5,1,2
KY,11,14,45,22,9,4,2,3,9,31,4,5
HI,9,12,15,2,7,6,0,1,4,7,3,1
NE,9,5,3,3,3,2,4,3,8,13,10,7
MO,20,20,16,18,5,6,3,9,30,27,29,6
WI,34,29,32,3,9,10,4,9,14,41,21,7
AL,12,16,24,11,12,12,5,9,16,24,15,7
RI,2,7,5,2,0,1,0,1,4,7,3,1
SD,1,2,5,0,1,1,1,0,1,6,1,1
CO,30,26,37,11,7,3,6,7,14,32,28,11
NJ,33,32,49,43,16,10,6,10,31,45,21,13
WA,44,36,42,31,21,18,4,8,29,80,40,17
NC,37,35,61,31,18,19,3,5,21,72,40,16
TN,27,30,32,29,20,11,12,6,32,48,29,18
TX,91,117,160,99,65,41,31,33,111,250,135,60
NV,21,21,42,14,14,9,4,4,20,33,11,8
ME,14,2,9,5,8,2,0,5,19,31,15,6